treatment,dose_uM,replID,plateID,cell_line,timeID,timeAfterExposure,locationID,IntegratedIntensity_GM,MeanIntensity_GM,Cell_count
CDDP,10,1,p53,HepG2 P53-GFP,4,6,B06_2,1.5011560800510415,0.24535061660610932,1128
CDDP,10,1,p53,HepG2 P53-GFP,5,8,B06_1,1.4826243335788738,0.24548169247860085,985
CDDP,10,1,p53,HepG2 P53-GFP,5,8,B06_2,1.5240022733986178,0.24885523002230336,1129
CDDP,10,1,p53,HepG2 P53-GFP,6,10,B06_1,1.4817789806155997,0.243907932408513,987
CDDP,10,1,p53,HepG2 P53-GFP,6,10,B06_2,1.4727727296922086,0.24447939071139,1162
CDDP,10,1,p53,HepG2 P53-GFP,7,12,B06_1,1.477616312704347,0.24294810901111363,996
CDDP,10,1,p53,HepG2 P53-GFP,7,12,B06_2,1.474140253936923,0.24464395846371298,1182
CDDP,10,1,p53,HepG2 P53-GFP,8,14,B06_1,1.4739825441013177,0.2441079611856563,1032
CDDP,10,1,p53,HepG2 P53-GFP,8,14,B06_2,1.466796123826629,0.24420883193114076,1191
CDDP,10,1,p53,HepG2 P53-GFP,9,16,B06_1,1.4616461355271166,0.24449965560735024,1082
CDDP,10,1,p53,HepG2 P53-GFP,9,16,B06_2,1.4646372692031615,0.2459269317996138,1217
CDDP,10,1,p53,HepG2 P53-GFP,10,18,B06_1,1.4571644794976102,0.24301682295653562,1089
CDDP,10,1,p53,HepG2 P53-GFP,10,18,B06_2,1.4479255161978233,0.24598168456553174,1284
CDDP,10,1,p53,HepG2 P53-GFP,11,20,B06_1,1.4558252148686202,0.24401320043170055,1115
CDDP,10,1,p53,HepG2 P53-GFP,11,20,B06_2,1.4623917687163641,0.2456612932712512,1265
CDDP,10,1,p53,HepG2 P53-GFP,12,22,B06_1,1.4430417569799032,0.2435737238446134,1162
CDDP,10,1,p53,HepG2 P53-GFP,12,22,B06_2,1.4606141033714448,0.24642790528069036,1279
CDDP,10,2,p53,HepG2 P53-GFP,1,0,D06_1,1.4499048243044814,0.22957776322765833,1090
CDDP,10,2,p53,HepG2 P53-GFP,1,0,D06_2,1.4026787752066256,0.22616960609580342,1132
CDDP,10,2,p53,HepG2 P53-GFP,2,2,D06_1,1.512230838479116,0.24481069902371977,1180
CDDP,10,2,p53,HepG2 P53-GFP,2,2,D06_2,1.4949275130705013,0.2410219385665748,1164
CDDP,10,2,p53,HepG2 P53-GFP,3,4,D06_1,1.5414231368116984,0.24840516558810605,1176
CDDP,10,2,p53,HepG2 P53-GFP,3,4,D06_2,1.5435067043073163,0.2512736033609072,1199
CDDP,10,2,p53,HepG2 P53-GFP,4,6,D06_1,1.5516570264472302,0.2508181226399986,1179
CDDP,10,2,p53,HepG2 P53-GFP,4,6,D06_2,1.5241016801896403,0.2495380494695733,1239
